,Av,Av_scaled,BP,BP_abs,Dnu,EEP,G,G_abs,K,K_abs,M_H,RP,RP_abs,Teff,Y,Z,a_MLT,age,dist,ln_mass,log_age,log_lum,log_rad,logg,lum,mass,plx,rad,x
0,0.616694412474146,0.616694412474146,12.920904678389075,4.434871148092673,46.53151600511732,2.972539521757625,12.372801401669987,3.8867678713735847,10.244146591635019,1.7581130613386162,0.3595337300743622,11.6835204770114,3.1974869467149984,5274.639304587346,0.30440162633541273,0.027665903713459394,2.0,5651893482.351352,497.9740434578391,0.20292502780980562,9.752193968381237,0.5302790014989671,0.3434066123006211,3.841315995216621,3.3906190792907127,1.2249806253242834,0.002008136795757839,2.204989939534462,0.6972539521757625
1,0.6743164882539943,0.6743164882539943,16.390990506749176,8.036840016096383,198.85838126521418,0.2547290449908795,15.627132763827117,7.272982273174323,12.779388910838371,4.425238420185578,0.16813848609140852,14.791728094761318,6.437577604108524,4486.858615930755,0.2449584753622683,0.019604798140947028,2.0,771061011.0433875,468.63001188643574,-0.23798152313034732,8.88708874343508,-0.7275804019296603,-0.14502232577041133,4.626690589250382,0.18724903925023226,0.7882172547466986,0.002133879552388404,0.7161065963847919,0.07641871349726385
2,0.4545034385838249,0.4545034385838249,12.122990567382386,5.034399673909435,76.7295833346294,2.151841084802881,11.65984241884518,4.571251525372229,9.760153395451406,2.671562501978454,-0.010190014682067768,11.036767955507594,3.9481770620346426,5458.173654943585,0.26494670899474415,0.01277015114445511,2.0,16649677424.915478,261.64845744819195,-0.13089635676244063,10.22140582379211,0.2031126611013927,0.1501142776272768,4.082923879302279,1.5962931907767783,0.8773086967928907,0.0038219220161005776,1.412909280127948,0.615184108480288
3,0.8457692537815465,0.8457692537815465,12.44445581315881,4.691477299484277,52.8428719471645,2.6004442704370585,11.923062624937275,4.170084111262743,9.827575232565959,2.074596718891426,-0.15993671779490046,11.248721068118401,3.495742554443869,5597.249641116828,0.28131256602786575,0.008889484913137503,2.0,8731170820.403551,355.30040516484047,-0.027377094992356268,9.941072485028165,0.49374392817159607,0.2735752545965072,3.8809597695212643,3.1170511440902517,0.9729942610719985,0.0028145197288363725,1.8774797200864068,0.6600444270437058
4,0.8276352286390073,0.8276352286390073,14.615853950814008,6.176617387882057,59.33457318645325,3.1124953653658296,13.899241450530392,5.460004887598441,11.142832399602165,2.7035958366702135,-0.07782764070060229,13.091048558399258,4.651811995467306,4684.744618118237,0.2277099330501936,0.011510906908028092,2.0,44233827750.895874,487.35711702982934,-0.3317138733990339,10.645754522439102,0.022773519091459138,0.19266756248535824,3.9106033702413296,1.053837185866911,0.7176926444359503,0.002051883444514864,1.5583591757161255,0.7337486096097489
5,0.8258112459628877,0.8258112459628877,11.879604863539136,3.4842408038933983,16.786774290963923,3.279458765509265,11.290752222883292,2.8953881632375547,8.905639489449367,0.5102754298036292,-0.7204961228775106,10.56367827149652,2.1683142118507828,5148.473616918435,0.2561529338546866,0.0025537157581699698,2.0,5238818980.51449,477.60934085617197,0.06355860913012748,9.719233392316646,1.0221569103886816,0.6103741169085812,3.246854919405498,10.523420158137316,1.065621939146179,0.0020937613954689,4.077313610440843,0.7838376296527795
6,0.28668398958790386,0.28668398958790386,10.749782949678412,3.2022365560080273,22.38226673927825,3.172869462563397,10.28886603718387,2.741319643513485,8.32278028093421,0.7752338872638251,-0.4983509824681615,9.665857538527186,2.1183111448568006,5198.43176364339,0.2672755376090911,0.004185816509670181,2.0,3960401106.564586,323.2282260610551,0.1522414023641773,9.597739173184607,0.9002520950071555,0.5410339970451588,3.4240496068736577,7.947894524465446,1.1644413013889758,0.0030937892157076293,3.475633680173917,0.751860838769019
7,0.5231186143843628,0.5231186143843628,11.370498824329315,3.075444813175542,8.266351747084066,3.7379319906494217,10.713271643278615,2.4182176321248403,8.144969430863707,-0.15008458029006766,0.050066191722353916,9.946703831108206,1.6516498199544307,4662.327792270341,0.3038929984663863,0.013857597145266652,2.0,25105093789.816444,456.0482591238897,-0.28507012430671885,10.399761848188902,1.1446121270360692,0.7577531003351448,2.8006894173878285,13.951218065425408,0.7519615216900969,0.0021927503942698766,5.724704846997727,0.9213795971948265
8,0.5770743832106584,0.5770743832106584,10.718388991173075,3.758792695032608,61.862164023319956,1.3079295287234267,10.358443066249409,3.3988467701089418,8.858627174825164,1.8990308786846972,0.1332157976942294,9.83089989761414,2.8713036014736724,6324.52820952925,0.28707302195435436,0.017115360388229747,2.0,2480608001.0154004,246.5580912316293,0.31458343552596313,9.394558140150254,0.700425827244665,0.2708092904344133,4.035003269278267,5.016788904430531,1.3696886284791092,0.004055839315614059,1.865560296769063,0.392378858617028
9,0.456162629772778,0.456162629772778,11.38864173958929,2.964793528353769,73.20853653575779,0.42053958165882294,11.185084925514442,2.761236714278922,10.305529263302425,1.8816810520669052,0.23868226802983544,10.847102308838032,2.4232540976025128,7563.545300071541,0.28152275370468083,0.02184560317515523,2.0,525885958.07138497,483.9156217838416,0.5314865481509108,8.720891574666796,0.9310590204751119,0.23073133038901936,4.209359014289709,8.532160579164877,1.7014597314028532,0.0020664759618913195,1.701105819825251,0.12616187449764688
